Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列)
1283,副主任医师,呼吸科,南京,1,365,"29,316",0,9,1,0,1,,39047
1284,主任医师,普通外科,北京,1,0,"54,476",0,69,18,3,0,,39063
1285,主任医师,外科,西安,1,0,"11,974",0,0,3,1,0,欢迎登陆我的网站                        欢迎登陆我的网站，我愿为您服务，解答您所提出的问题。,39157
1286,主治医师,消化内科,上海,1,2195,"73,876",3,310,2,0,1,欢迎词                        有时是治愈，常常去帮助，总是去安慰！,39159
1287,主任医师 副教授,超声诊断科,南京,1,0,"34,270",0,6,0,0,0,,39209
1288,住院医师 助教,肿瘤外科,温州,1,260,"12,669",0,3,0,0,2,不为良相，则为良医！                        大医精诚,39211
1289,副主任医师,心血管外科,郑州,1,834,"56,067",0,52,1,1,5,欢迎患者提出心血管外科方面的问题                        欢迎患者提出心脏大血管外科疾病方面的问题，我及时回答提出问题，并欢迎患者提出意见。  郑州大学二附院心外科，是河南省最早成立的心血管外科专业科室，河南省级重点学科，是首批硕士、博士学位授予单位，是河南省首批农村儿童先天性心脏病大病救助单...位，现对参加农村合作医疗的14岁以下的室间隔缺损、房间隔缺损、动脉导管未闭、肺动脉狭窄进行免费治疗，其它心脏病，省内均直补（直接报销），欢迎广大患者来我院就诊。河南省先天性心脏病政策落实最,39272
1290,住院医师,口腔科,杭州,0,55,"6,294",0,11,0,0,0,,39331
1291,主任医师,普外科,乌鲁木齐,0,0,320,0,0,0,0,0,,39337
1292,住院医师,口腔科,太原,0,200,"8,538",0,0,3,0,0,,39382
1293,副主任医师,神经内科,西安,0,925,"37,695",1,80,0,0,2,,39448
1294,主治医师 讲师,口腔科,北京,1,445,"36,235",8,28,8,3,0,"Smile, big smile!                        用心做好医生！",39556
1295,主任医师,性病科,南昌,1,210,"18,677",0,1,3,1,0,,39565
1296,主治医师,内分泌、糖尿病科,沧州,0,0,248,0,0,0,0,0,,39597
1297,主任医师,小儿科,天津,1,30,"4,129",0,5,2,0,0,欢迎词                        现在春天，春暖花开，是呼吸道过敏性疾病高发季节，许多过敏体质的小孩，会出现鼻痒、鼻塞、经常流涕，还有出现咳嗽或咳喘，最好发病早期带您的宝宝到医院诊治。平日要保持室内空气流通，不要到人群密集的场所。      我们在西医治疗的同时采用中药穴...位贴敷治疗气管炎、支气管炎，哮喘，咳嗽变异性哮喘、过敏性鼻炎，慢性咽炎，反复呼吸道感染等多种呼吸系统疾病。取得了较好的疗效。                                        展开 >,39614
1298,副主任医师 讲师,骨科,镇江,1,1336,"43,240",0,56,0,0,5,欢迎词                        大家好！    有机会借助此网站平台与大家共同交流与学习，希望能尽一己微薄之力为大家提供一些帮助。,39626
1299,副主任医师 副教授,泌尿外科,长沙,1,500,"48,417",0,60,2,0,1,你的健康是我最大的幸福                        你的健康是我最大的幸福,39637
1300,主治医师 讲师,消化内科,上海,0,0,"2,122",0,1,2,0,0,,39722
1301,副主任医师 副教授,血液内科,济南,1,3480,"220,439",7,166,5,0,8,"致患者                        To cure sometimes, To relieve often, To comfort always。这是长眠在美国纽约东北部的撒拉纳克湖畔的特鲁多医生的墓志铭，中文翻译简洁而富有哲理：偶尔去治愈，常常去帮助，总是去安慰。给病人帮助...，是医学的经常性行为，技术之外，医生常常要用温情去帮助病人，通过医学的帮助，找回健康，保持健康；安慰，是一种人性的传递，是在平等基础上的情感的表达.",39754
1302,主任医师 教授,肝胆外科,北京,1,280,"227,899",3,159,0,0,1,用肝胆外科人的精神肝胆相照。                        海军总医院肝胆外科的医护人员将用肝胆外科人的精神为病人送去最为需要的医疗技术与服务,39783
1303,副主任医师 副教授,胸外科,鞍山,1,0,"7,722",0,0,4,0,1,,39836
1304,主任医师,风湿科,北京,1,58308,"1,986,890",4,2528,141,56,167,,39844
1305,主治医师,烧伤整形激光美容中心,天津,1,4250,"250,787",6,267,5,1,6,各位患者好！                        帮助您解决痛苦，恢复自信；让美丽的您更加美丽！,39845
1306,住院医师,耳鼻喉科,南通,0,390,"22,974",0,12,1,1,1,,39884
1307,住院医师,儿科,鹤岗,0,200,"6,593",0,0,0,0,0,,39931
1308,主任医师,神经外科,北京,1,1735,"111,811",0,145,11,4,10,,39943
1309,主任医师 教授,眼科,长春,1,75,"21,435",3,15,4,2,0,欢迎广大角膜病、眼表疾病及角膜移植患者咨询就医                        擅长各类角膜移植手术，对角膜病及眼表疾病、青光眼、白内障、眼外伤的诊治及手术有丰富经验。,39975
1310,主治医师,外科,吉安,0,220,"12,113",1,0,0,0,0,,39981
1311,主任医师 教授,肺癌诊治中心,南京,1,1270,"341,340",49,150,9,0,3,慢性咳嗽、反复气喘怎么办？(支气管哮喘和慢性阻塞性肺...                        慢性咳嗽要当心咳嗽变异性哮喘(见文章).    哮喘和慢性阻塞性肺疾病均为气道炎症性疾病，反复气喘、呼吸不畅为其共同的临床特点。只要合理治疗就能消除临床症状，真正做到“轻松呼吸，畅享生活”。    目前已经开通哮喘和慢性阻塞性肺疾病专病...门诊，时间为每周一的上午和每周三的全天。    肺癌的发病率近几年来有增高趋势，早期诊断和早期治疗是应对肺癌的最好手段。    欢迎广大医务工作者和患者或其家属浏,40000
1312,主治医师,精神科,无锡,0,200,"8,047",0,0,1,0,0,,40015
1313,副主任医师,消化内科,上海,1,0,741,0,0,2,1,0,,40015
1314,主任医师 副教授,烧伤科,太原,1,0,"14,855",0,0,5,1,0,,40072
1315,住院医师,康复科,淄博,1,0,"7,948",0,0,0,0,0,,40072
1316,副主任医师,肝胆外科,广州,1,200,"8,024",0,0,0,0,0,,40110
1317,副主任医师,免疫风湿科,上海,1,3100,"150,398",38,398,1,1,1,欢迎词                        华东医院7号楼18楼免疫风湿病专病病房10张（男/女各5张），白塞氏病专病病房10张。我科病房全体医务人员在学科带头人——管剑龙教授的带领下，以“白塞病”为主要特色，面向全国广大罹患风湿疾病的患者。为了您的早日康复竭诚服务！,40163
1318,主任医师,妇产科,北京,1,3681,"257,600",0,183,5,2,5,保障姐妹们的身心健康是我的职责所在                        我愿尽吾一生，致力于妇产科疾病的治疗和研究。,40259
1319,主治医师,医学影像科,日照,1,0,526,2,0,0,0,0,,40260
1320,主任医师,超声诊断科,宁波,1,0,"11,589",1,1,2,0,0,,40268
1321,主任医师 教授,泌尿外科,天津,1,0,"14,565",0,2,9,1,1,,40288
1322,副主任医师 副教授,妇产科,呼伦贝尔,1,250,"54,520",0,9,0,0,0,我们可能生几次，但我们只能被生一次！                        我们不能保证治疗好每一个病人但我们保证好好治疗每一个病人！！！,40288
1323,主任医师 教授,脊柱、骨关节病科,长沙,1,580,"140,326",19,67,1,0,1,祝各位病友早日恢复健康！                        欢迎到我个人网站进行医疗咨询，我将竭诚为您解答。如有需要，可到长沙市麓山南路58号：湖南省中医药研究院附属医院骨伤二科就诊，科室团队将竭诚为你服务！谢谢！,40335
1324,主治医师 讲师,骨科,常州,1,0,785,0,0,1,0,0,,40406
1325,住院医师 助教,神经内科,广州,1,200,"8,912",0,0,0,0,0,,40458
1326,主治医师,风湿免疫科,新乡,1,0,450,0,0,0,0,0,,40464
1327,主任医师,运动损伤科,西安,1,0,"10,435",0,1,3,0,1,,40497
1328,副主任医师,妇瘤科,西安,1,0,"34,236",0,7,11,1,1,,40513
1329,主任医师 教授,耳鼻咽喉科,北京,1,95570,"2,702,020",20,5034,124,78,360,欢迎词                        尊敬的网友及病友：    您好！《好大夫在线》网站给我提供了能与网友和病友交流的平台，甚感高兴。利用这一平台尽我所能为确实需要我解决问题的网友或病友提供相应的医疗信息和咨询。但因繁忙工作缠身，所提出的咨询答复有可能会延迟，对此请多多包涵与...谅解。真诚希望《好大夫在线》成为我们之间经常沟通的桥梁。                                        展开 >>                 收起 <<,40522
1330,主任医师,普通外科,保定,1,0,"14,205",0,0,2,0,0,,40551
1331,主治医师,视光学中心,郑州,1,270,"34,880",8,13,6,1,1,,40566
1332,住院医师,小儿外科,咸阳,0,35,"1,502",0,4,0,0,0,,40634
1333,主治医师 讲师,肝胆普外科,咸阳,1,228,"38,251",14,2,0,0,0,自强不息，如履薄冰，全力以赴                         本科特色业务 一：肝癌、肝血管瘤的综合治疗；                 重症胰腺炎的综合治疗；                                肝门部胆管狭窄、肝内外胆管结石、高位胆管癌的外科治疗；     ...           胰腺癌的综合治疗                 疑难复杂的胆道病变的手术治疗及 临床研究；二：微创外科：腹腔镜胆囊切除及肝外胆管探查取石；腹腔镜胃癌、结肠手术；腹腔镜肝囊肿开,40645
1334,主治医师 讲师,妇科,广州,1,65,"7,565",0,10,2,0,0,欢迎词                        行医一时，鞠躬一生；不求闻达，但求利人竭尽所能，运用一切可利用的方法为患者提供尽可能的帮助,40669
1335,主治医师,神经内科,长春,0,0,"13,442",0,0,2,0,0,,40735
1336,主治医师,肿瘤科,郑州,0,200,"10,939",0,1,1,0,0,,40740
1337,主治医师,血液内科,上海,1,0,"1,827",3,0,1,0,0,本非华佗在世，唯有医术仁心                        病者，受尽痛楚，但不可怨天尤人，理应坦然面对；医者，愿尽所能，然终无回天之术，但求问心无愧。,40782
1338,住院医师,外科,泉州,0,0,"13,002",0,0,0,0,0,,40891
1339,副主任医师,肿瘤内科,广州,1,25,"2,043",0,5,0,0,0,致尊敬的患者朋友们，                        我科邀请了广州中医药大学附属第一医院的资深肿瘤专家陈锐深教授和谭开基教授2015年初到我院出专家门诊，有需要的患者可以关注。 欢迎您浏览我的网站，希望能对您有些帮助，我会就我所知道的知识和能力解答您的问题，也希望把病情介绍详细点，最好再附...上CT等影像学证据的照片，有助于诊断及治疗建议，您也能得到及时答复。如有不满意之处请多提意见，谢谢！！！                                        展开 >>,40924
1340,主任医师 教授,消化内科,厦门,1,4938,"434,042",24,505,10,2,2,欢迎词                        您好，欢迎您来到我的个人网站，希望在我擅长的消化系统疾病诊治方面能帮到您。    消化系统疾病伴心理障碍（如焦虑、情绪低落、失眠等）是导致疾病难治的最常见原因，在治疗消化疾病的同时不能忽略心理障碍的处理。然而不少临床医师（包括很多知名的专...家）并非完全考虑到这一点，或者虽然知道应用一些抗抑郁的药物，但用药选择、剂量、疗程等技巧掌握不够，加之患者对诊断该病不是完全认可，而不愿接受此类药物治疗，以至于这些患者四处求医，反复做了大量的检查，虽然没有查出什,40985
1341,副主任医师,耳鼻喉科,上海,0,40,"2,446",0,6,0,0,0,,40987
1342,副主任医师,泌尿外科,佛山,1,0,"50,452",1,7,4,0,0,,41143
1343,住院医师,普外科,济南,0,0,971,0,0,0,0,0,,41202
1344,主治医师,肝胆外科,北京,1,0,557,0,0,0,0,0,,41217
1345,主任医师 教授,中医科,泉州,1,0,"7,862",6,0,4,1,0,医者仁术                        为您服务,41223
1346,副主任技师 副教授,血液科,长沙,1,0,"33,559",0,20,1,0,0,我的朋友们，你们好吗？！                        岁月如路，宽者、窄者、平坦者、崎岖者、山者、水者、酷热者、严寒者，我想告诉你，不要犹豫，淌过去！,41253
1347,住院医师,肝胆外科,杭州,0,0,446,0,0,0,0,0,,41367
1348,主治医师 讲师,口腔正畸科,济南,1,850,"41,708",1,110,2,0,1,健康牙齿，美丽人生!                        还您一副整齐洁白的牙齿，让您的人生神采飞扬！ 美国隐形矫正（Invisalign隐适美）中国大陆认证医师， 欢迎前来咨询和预约！预约电话：0531-88382070,41384
1349,主治医师 讲师,临床心理科,洛阳,0,0,"9,057",0,0,3,0,0,,41400
1350,副主任医师,心血管内科,广州,1,210,"32,065",0,7,3,0,0,,41440
1351,主任医师,医学影像科,抚顺,0,0,"2,990",0,0,1,1,0,,41558
1352,主治医师,种植科,天津,1,325,"26,095",0,13,7,0,1,,41609
1353,副主任医师,血液内科,青岛,1,0,"1,709",0,0,1,0,0,,41631
1354,副主任医师,产科,上海,1,2685,"51,495",3,379,2,1,4,,41640
1355,主任医师 副教授,肛肠科,福州,1,425,"50,919",8,36,19,3,0,务实求精，服务大众                        福建省人民医院肛肠科是国家卫生部临床重点专科，国家中医药管理局重点专科，福建省中医重点专科。我们将不断求创新、求进步，把最优、最精的技术奉献给大众。        垂询电话：0591--83947135,41758
1356,主任医师 教授,口腔颌面外科,长春,1,200,"8,419",0,1,11,3,0,,41854
1357,副主任医师,职业病科,济南,1,0,"7,958",0,0,1,0,0,,41963
1358,主治医师,消化内科,济宁,0,0,251,0,0,0,0,0,,41968
1359,主治医师,乳腺外科,济南,0,830,"70,116",0,30,1,0,6,,41997
1360,副主任医师 副教授,消化内科,包头,1,1571,"114,864",0,119,1,0,1,欢迎词                        欢迎广大患者网上或电话咨询有关胃肠道疾病及肝，胆，胰腺疾病方面的相关问题。,42010
1361,副主任医师,肿瘤科,泰州,1,270,"45,555",20,8,0,0,0,携手为生命护航                        博学至精 明德至善,42069
1362,主任医师 副教授,耳鼻咽喉科,北京,1,7983,"396,240",34,648,21,14,23,"提示                        对先天性耳畸形专病门诊的患者,如果实在挂不上号,可以在邹大夫门诊快结束时申请加号",42082
1363,主任医师 教授,头颈肿瘤外科,成都,1,200,"7,257",0,1,7,3,1,,42091
1364,副主任医师,心血管外科,郑州,1,230,"18,382",0,4,13,4,1,,42178
1365,主治医师,乳腺外科,泰州,1,0,"7,910",0,0,0,0,0,,42196
1366,住院医师,乳腺外科,镇江,0,0,"1,003",0,0,0,0,0,,42202
1367,主治医师,肛肠科,濮阳,1,475,"71,594",10,18,8,1,1,欢迎您的光顾指导!,42302
1368,副主任医师 副教授,妇瘤科,日照,1,0,"13,068",0,0,0,0,0,,42406
1369,主治医师,肛肠科,石家庄,1,301,"15,965",0,5,1,0,1,祛疾解痛QQ187269753                        欢迎肛肠疾病患者咨询、就诊，致力于高超的医疗技术，优质的医疗服务，低廉的医疗费用满足广大患者。,42434
1370,副主任医师,肿瘤内科,北京,1,200,"7,840",0,1,1,0,0,,42470
1371,副主任医师,神经内科,南昌,1,0,"7,964",0,0,0,0,0,,42520
1372,副主任医师,普通外科,北京,1,13279,"501,235",10,760,56,35,34,欢迎词                        努力做个好大夫！,42521
1373,主任医师 副教授,血液内科,南京,1,0,"1,819",6,0,1,0,0,欢迎患者来信和来电                        薛军  临床医学博士，主任医师，从事临床医学工作30年，具有丰富的临床经验，在血液恶性疾病的诊断和治疗中具有较深的造诣。擅长凝难疾病的诊断，曾诊断出多例凝难杂症。总共发表医学论文40篇，参与和主持国家自然科学基金和省内院内各项科研基金项目6...项，获得1997年安徽省级科技成果一项，我的研究方向是恶性血液病的诊断和治疗。我院血液科常规开展各类贫血，再障，白细胞血小板减少症，急慢性白血病，淋巴瘤，多发性骨髓瘤，出凝血疾病的诊断和治疗，而且开,42529
1374,主任医师 教授,免疫风湿科,宁波,1,12098,"852,867",33,935,38,13,15,我院风湿科门诊时间                        周一、四上午 丁健 专家门诊周二、三、五全天  专科门诊周四上午 骨质疏松门诊http://publish.nbws.gov.cn/Login.shtml网上预约,42566
1375,主治医师 讲师,胸心外科,佳木斯,1,0,"1,487",0,0,0,0,0,,42589
1376,副主任药师,药剂科,黄山,1,0,"9,652",1,0,0,1,0,,42699
1377,主治医师,生殖医学中心,淄博,0,0,550,0,0,1,0,0,,42717
1378,副主任医师,结直肠肿瘤外科,北京,1,270,"96,053",2,58,24,11,1,结直肠癌并不可怕                        结直肠癌的以手术为主的综合治疗给越来越多的患者带来了长期生存的希望来电咨询：88196086，88196085（单位）电子邮件：pengyf_1972@yahoo.com.cn,42719
1379,副主任医师 副教授,泌尿外科,南宁,1,65,"8,232",6,8,5,3,1,,42781
1380,副主任医师,斜视弱视与小儿眼科,天津,1,4050,"260,419",2,570,15,8,0,,42832
1381,主任医师,肿瘤内科,黄石,1,0,524,0,0,0,0,0,,42871
1382,主治医师,麻醉科,北京,0,195,"34,073",0,30,1,0,0,欢迎词                        您了解麻醉吗？您的手术，有麻醉医生保驾护航；您的疼痛，有麻醉医生为您解除减轻。,42941
1383,副主任医师 副教授,肛肠科,威海,0,200,"7,540",0,0,0,0,0,,42981
1384,主治医师,普外科,济南,1,1925,"202,342",6,126,1,0,6,您的信任是我最大的动力                        全心全意为病人服务是我的工作态度；治愈每一个病人是我最大的心愿；和病人做朋友是我最有成就的事情。,43098
1385,副主任医师,神经内科,襄阳,1,35,"5,584",0,6,1,0,0,,43168
1386,住院医师,康复科,北京,1,15,"12,808",0,3,1,0,0,,43188
1387,主任医师 教授,血管外科,沈阳,1,200,"5,482",0,0,1,1,0,,43198
1388,主治医师 讲师,口腔粘膜科,武汉,1,210,"7,506",0,30,6,0,0,欢迎光临卢锐大夫的个人网站！                        欢迎咨询复发性口腔溃疡、口腔扁平苔藓、口腔白斑、唇炎、口腔黏膜下纤维性变等各类口腔黏膜疾病的相关问题。由于远程医疗不能面诊患者，无法全面了解病情，给出的建议仅供参考，具体诊疗请您来院面诊后进行。,43225
1389,主治医师 讲师,牙体牙髓科,天津,0,0,"8,191",0,0,3,0,0,,43415
1390,主任医师 教授,神经内科,潍坊,1,230,"9,987",0,2,1,0,0,欢迎词                        无论是躯体疾病还是心理精神疾病，对您来说都是痛苦的，我将以我所长尽我所能，竭诚为您服务。祝您早日康复。,43438
1391,副主任医师,耳鼻咽喉科,杭州,1,35,"2,366",0,9,7,1,0,,43440
1392,副主任医师,腹部、乳腺外科,福州,0,0,"6,793",0,0,2,1,0,,43446
1393,副主任医师,精神心理科,驻马店,1,0,"8,780",0,0,1,0,0,,43473
1394,主任医师,心脑病专科,武汉,0,0,902,0,0,1,0,0,,43514
1395,主治医师,中西医结合外科,天津,1,570,"82,086",1,47,3,1,1,,43516
1396,主任医师,急诊科,北京,1,4210,"391,654",0,371,4,0,4,您的需求就是我努力的方向                        作为一名医生，解除患者痛苦是我们的职责。欢迎您致电咨询中毒急救方面的相关问题。,43544
1397,主治医师,骨科,聊城,0,400,735,0,0,0,0,0,,43551
1398,主治医师 讲师,康复科,哈尔滨,1,35,"2,952",0,5,0,0,0,,43553
1399,主治医师 讲师,血液科,郑州,0,20,"10,249",0,3,1,0,0,,43565
1400,副主任医师 副教授,儿外科,九江,1,5750,"375,242",14,582,5,0,8,,43637
1401,主任医师 副教授,肛肠外科,武汉,1,6246,"387,138",8,894,15,7,2,尽己之所能，为病家解除痛苦                        医乃仁术，无德不立；修德敬业，依精依诚！   医术被世代传承，医学在步步发展，尽管医者心怀济世救人之愿，但仍未能去除华夏芸芸众生之病魔！   本人虽然从事胃肠外科临床工作20余年，对结直肠、肛门周围良恶性疾病和腹股沟疝、腹壁切口疝等普外...科疾病的传统开腹手术和腹腔镜微创手术有所研究，但仍是才疏学浅。不管您在这方面是否有病痛的折磨，只要您有需要，我将尽己之所能，为您解除痛苦。,43642
1402,主任医师 副教授,肛肠外科,上海,1,330,"42,779",0,16,4,3,2,,43786
1403,住院医师,结直肠肿瘤外科,北京,1,0,"1,127",0,0,0,0,0,,43795
1404,副主任医师,妇科,重庆,1,150,"7,633",1,23,3,1,0,欢迎各位病友！                        当医生不容易，当病人也不容易！你们都可以在这里提问，只要我有时间，都会为你们解答。,43880
1405,主治医师 讲师,肛肠分院,深圳,0,590,"7,724",5,47,3,2,1,治好一个病人，树立一个口碑。                        您的微笑是我的最大成就。,43889
1406,副主任医师,内科,滁州,1,400,"166,680",21,36,2,0,0,大医精诚                        凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿普救含灵之苦。,43962
1407,主治医师,胸外科,郑州,0,0,"3,108",0,1,2,2,0,,44090
1408,住院医师,泌尿外科,湖州,1,1240,"85,679",0,63,1,0,0,,44109
1409,住院医师 助教,儿童口腔科,重庆,1,481,"62,269",9,22,0,0,1,,44110
1410,副主任医师,微创外科,南通,1,0,"2,707",0,0,1,1,0,,44117
1411,主治医师,风湿科,洛阳,1,0,"13,125",0,0,2,1,1,,44122
1412,住院医师,皮肤科,成都,1,0,"2,920",0,0,0,0,0,,44145
1413,主治医师,介入血管外科,北京,0,1520,"120,192",0,116,9,5,7,,44173
1414,主治医师 讲师,血管外科,上海,1,5751,"242,537",19,371,12,4,21,欢迎词                        每次见到你们的感言，由衷的感到开心和荣幸甚至感动，让我更有动力按照医生服务患者的宗旨坚持回复下去，即使像今天身体感到特别疲惫难受的时候也会有精力完成回复，再次祝所有患者朋友万事如意！,44184
1415,主治医师 讲师,皮肤科,天津,1,1049,"202,972",73,119,3,2,1,,44188
1416,主任医师,神经内科,大庆,1,0,848,0,0,1,0,0,,44213
1417,副主任医师,肾内科,天津,1,1980,"85,258",0,91,1,0,7,,44246
1418,副主任医师,血液风湿科,龙岩,1,0,"17,306",0,1,6,0,0,,44251
1419,主治医师,神经外科,北京,0,310,"24,676",0,13,7,3,1,,44258
1420,副主任医师 副教授,神经外科,绥化,0,240,"15,993",1,6,1,0,1,,44321
1421,主治医师,妇产科,武汉,1,1960,"101,856",0,86,2,0,5,医者仁心                        适度治疗，为您解忧,44338
1422,主任医师,神经外科,石家庄,1,10,666,6,2,5,1,0,,44353
1423,主治医师,骨科,济南,1,335,"26,900",0,15,0,0,1,欢迎词                        你的健康，我来守护！,44362
1424,主任医师,儿科,杭州,1,15,"21,869",0,5,4,1,1,,44362
1425,副主任医师,放疗科,莆田,1,2475,"122,415",12,480,1,1,0,,44419
1426,主治医师,骨科,成都,1,215,"18,993",0,5,10,2,1,,44432
1427,副主任医师,血液内分泌科,潍坊,1,0,"8,724",0,0,0,0,0,,44449
1428,住院医师,乳腺外科,潍坊,0,0,315,0,0,0,0,0,,44498
1429,主治医师,中医内科,上海,0,340,"39,409",0,28,0,0,0,欢迎您                        如果您有任何关于中西医结合治疗呼吸系统疾病的问题，欢迎您提问。同时推荐您访问杏林微客，寻找更多保健方法，网址是http://www.tcmstu.cn,44508
1430,住院医师,普通外科,上海,0,200,"1,434",0,0,0,0,0,,44551
1431,住院医师,肿瘤科,天津,0,200,"4,372",0,0,0,0,0,,44566
1432,住院医师,乳腺科,重庆,1,205,"8,677",0,2,5,0,0,,44574
1433,主任医师,泌尿外科,黄山,1,0,"19,506",1,1,2,0,0,欢迎光临李智勇大夫个人网站                        李智勇在此感谢你的光临，在这里，我们可以交流，切磋，包括就医，体育活动，及其感兴趣的问题。,44613
1434,住院医师,肺病内科,长春,0,0,248,0,0,0,0,0,,44654
1435,主任医师 教授,病理科,北京,1,1039,"123,760",4,94,4,7,7,如何进行病理会诊                        非常感谢各位患者对我和我们医院的信任，选择了我们。当您决定来我院进行病理会诊后，请带好如下的材料以减少往返的时间和重复检查的经费，尽快得到会诊的结果。1.简要的病史。2.所有重要的化验结果，如外周血，骨髓涂片结果等。3.骨肿瘤患者请带...上所有的影像学片子，即X-线、CT、MRI（磁共振）等。4.所有的病理切片，包括原医院所做的免疫组化切片。5.请带上10张涂胶白片供我们在必要时再重复或补做疫组化染色，也有可能并不需要重新补做，但可节省您在,44656
1436,主治医师,心内科,济宁,0,0,"1,552",0,0,0,0,0,,44716
1437,副主任医师 副教授,眼科,北京,1,0,"9,243",0,0,0,0,0,常回家看看                        欢迎广大青光眼患者和各种疑难眼病患者常来这里看看，把这里当做家。相互多交流。,44739
1438,副主任医师,肾内科,北京,1,221,"11,548",1,2,2,1,0,关注透析 关注血管通路                        用精湛的技术、爱心呵护透析患者生命线--动静脉内瘘,44762
1439,主治医师 讲师,麻醉科,上海,0,0,"19,167",0,3,0,0,0,,44807
1440,主治医师,糖尿病科,北京,0,0,"8,545",0,0,0,0,0,,44854
1441,主任医师 教授,普外科,上海,1,5630,"330,471",4,615,70,32,60,马年新年快乐！                        你健康，我快乐！,44897
1442,住院医师,口腔科,嘉兴,1,230,"15,153",0,6,1,0,1,欢迎词                        您的微笑 我的责任,44924
1443,主任医师 教授,血液科,北京,1,0,"14,118",0,0,2,1,0,,44938
1444,住院医师,皮肤科,北京,0,0,"9,738",0,0,2,0,0,,44950
1445,主任医师,口腔儿童预防科,上海,1,295,"140,927",3,68,46,13,1,"关爱孩子牙齿健康                        ""热心、耐心、爱心、细心”是我的追求，您孩子“健康的牙齿，甜美的微笑”是对我最大的褒奖。",45094
1446,住院医师,普外科,邯郸,0,0,"1,028",0,0,0,0,0,,45147
1447,住院医师,妇产科,长沙,0,85,862,0,11,0,0,0,祝您永远健康！                        希望我的努力能为广大女性朋友们带来一些帮助！,45149
1448,主治医师 讲师,消化科,上海,1,0,930,0,0,0,0,0,,45156
1449,副主任医师,肿瘤内科,呼和浩特,0,200,"6,092",0,0,0,0,0,,45171
1450,副主任医师 副教授,神经外科,西安,1,20,"8,543",13,3,9,0,0,"为患者解决病痛的折磨。4008383114                        擅长于治疗面肌痉挛、三叉神经痛,垂体瘤、颅咽管瘤，听神经瘤等采用显微外科技术治疗；高血压病脑出血的微创治疗。",45330
1451,主任医师 教授,针灸科,南京,1,8770,"1,053,351",20,988,17,4,7,欢迎您在线咨询！                        这里是陆瑾大夫个人网站，欢迎您在线咨询，我将热诚为您服务！,45351
1452,主任医师 副教授,内科,广州,1,0,"2,989",0,0,1,0,0,,45358
1453,副主任医师,感染性疾病科,沧州,1,0,"6,781",0,0,0,0,0,,45401
1454,副主任医师,泌尿外科,六安,1,485,"38,932",0,33,2,1,1,希望我的专业技术能解除你的病痛                        希望我精湛的专业技术能解除您的病痛，还您健康本色！,45407
1455,主任医师 副教授,眼科,张家口,1,0,"6,918",0,0,0,0,0,,45434
1456,主治医师,老年病科,合肥,0,0,582,0,0,0,0,0,,45463
1457,住院医师,心血管外科,上海,1,0,"2,213",0,0,0,0,0,,45477
1458,主治医师,妇瘤科,西安,1,0,"6,710",0,0,4,0,1,,45483
1459,主治医师 讲师,腔镜外科,温州,1,465,"36,257",0,85,2,0,1,将心比心                        欢迎前来咨询就诊！,45524
1460,主治医师,重症监护室,茂名,0,215,"16,070",0,2,1,0,0,,45586
1461,主治医师 讲师,麻醉科,济南,0,0,"8,499",1,0,0,0,1,欢迎词                        健康所系，性命相托，我将竭尽全力除人类之病痛，助健康之完美，维护医术的圣洁和荣誉。,45635
1462,主任医师 教授,肾内科,沈阳,1,0,"20,597",0,0,2,0,0,,45649
1463,主任医师,外科,北京,1,0,"8,628",0,0,1,0,0,,45678
1464,主任医师,肿瘤内科,天津,1,0,"24,110",0,2,17,2,0,,45709
1465,主任医师 教授,心血管内科,长春,1,45,"20,519",0,8,10,2,0,,45717
1466,主治医师,肾病内科,资阳,0,230,"31,314",2,28,0,0,1,欢迎咨询有关肾脏疾病方面的问题                        希望广大肾脏病友提出自己想了解的问题,45837
1467,主治医师,妇科,上海,0,200,"3,419",0,0,3,0,0,,45916
1468,副主任医师,神经内科,济宁,1,215,"9,000",0,3,2,0,1,,45948
1469,副主任医师 副教授,眼科,长治,1,0,221,0,0,0,0,0,,45952
1470,主治医师,外科,永州,0,0,"11,149",0,0,0,0,0,,45974
1471,副主任医师 副教授,普通外科,十堰,1,0,"17,703",0,2,3,0,0,欢迎来到汪启斌大夫个人网站！                        欢迎来到汪启斌大夫个人网站！,46046
1472,副主任医师,肾内科,南京,1,0,"2,976",0,0,1,0,0,,46089
1473,主任医师 教授,针灸科,安阳,1,230,"13,062",0,2,1,0,0,有朋自远方来不亦乐乎                        看一位病人交一位朋友。您是否为行动不便、不能自理、饱受病痛之苦而烦恼吗？请您同我联系，也许我能为您解决，至少我能尽己绵薄之力给您指路，让您看到生活的希望与前途的光明！,46113
1474,住院医师 讲师,儿科,景德镇,0,0,"26,251",0,3,1,0,0,关注儿童健康，关注祖国未来                        感谢各位同道的支持及病友的关注，祝愿全天下小朋友健健康康，快快乐乐的成长！zouyongzhoulove@163.com,46137
1475,主治医师 讲师,外科,重庆,0,290,"14,800",0,5,0,0,0,为您解决病痛是我的责任                        欢迎病员朋友咨询肝胆及普通外科相关疾病，我会尽我所能为您解答,46147
